purchaser name	item description	item price	purchase count	merchant address	merchant name
João Silva	R$10 off R$20 of food	10.0	2	987 Fake St	Bob's Pizza
Amy Pond	R$30 of awesome for R$10	10.0	5	456 Unreal Rd	Tom's Awesome Shop
Marty McFly	R$20 Sneakers for R$5	5.5	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$24 Sneakers for R$5	5.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$26 Sneakers for R$5	9.9	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	10.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$22 Sneakers for R$5	200.1	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$2 Sneakers for R$5	9.12	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$29 Sneakers for R$5	5	3	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	5.0	4	123 Fake St	Sneaker Store Emporium
João Silva	R$10 off R$20 of food	10.0	2	987 Fake St	Bob's Pizza
Amy Pond	R$30 of awesome for R$10	10.0	5	456 Unreal Rd	Tom's Awesome Shop
Marty McFly	R$20 Sneakers for R$5	5.5	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$24 Sneakers for R$5	5.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$26 Sneakers for R$5	9.9	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	10.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$22 Sneakers for R$5	200.1	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$2 Sneakers for R$5	9.12	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$29 Sneakers for R$5	5	3	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	5.0	4	123 Fake St	Sneaker Store Emporium
João Silva	R$10 off R$20 of food	10.0	2	987 Fake St	Bob's Pizza
Amy Pond	R$30 of awesome for R$10	10.0	5	456 Unreal Rd	Tom's Awesome Shop
Marty McFly	R$20 Sneakers for R$5	5.5	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$24 Sneakers for R$5	5.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$26 Sneakers for R$5	9.9	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	10.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$22 Sneakers for R$5	200.1	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$2 Sneakers for R$5	9.12	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$29 Sneakers for R$5	5	3	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	5.0	4	123 Fake St	Sneaker Store Emporium
João Silva	R$10 off R$20 of food	10.0	2	987 Fake St	Bob's Pizza
Amy Pond	R$30 of awesome for R$10	10.0	5	456 Unreal Rd	Tom's Awesome Shop
Marty McFly	R$20 Sneakers for R$5	5.5	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$24 Sneakers for R$5	5.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$26 Sneakers for R$5	9.9	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	10.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$22 Sneakers for R$5	200.1	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$2 Sneakers for R$5	9.12	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$29 Sneakers for R$5	5	3	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	5.0	4	123 Fake St	Sneaker Store Emporium
João Silva	R$10 off R$20 of food	10.0	2	987 Fake St	Bob's Pizza
Amy Pond	R$30 of awesome for R$10	10.0	5	456 Unreal Rd	Tom's Awesome Shop
Marty McFly	R$20 Sneakers for R$5	5.5	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$24 Sneakers for R$5	5.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$26 Sneakers for R$5	9.9	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	10.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$22 Sneakers for R$5	200.1	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$2 Sneakers for R$5	9.12	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$29 Sneakers for R$5	5	3	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	5.0	4	123 Fake St	Sneaker Store Emporium
João Silva	R$10 off R$20 of food	10.0	2	987 Fake St	Bob's Pizza
Amy Pond	R$30 of awesome for R$10	10.0	5	456 Unreal Rd	Tom's Awesome Shop
Marty McFly	R$20 Sneakers for R$5	5.5	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$24 Sneakers for R$5	5.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$26 Sneakers for R$5	9.9	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	10.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$22 Sneakers for R$5	200.1	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$2 Sneakers for R$5	9.12	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$29 Sneakers for R$5	5	3	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	5.0	4	123 Fake St	Sneaker Store Emporium
João Silva	R$10 off R$20 of food	10.0	2	987 Fake St	Bob's Pizza
Amy Pond	R$30 of awesome for R$10	10.0	5	456 Unreal Rd	Tom's Awesome Shop
Marty McFly	R$20 Sneakers for R$5	5.5	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$24 Sneakers for R$5	5.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$26 Sneakers for R$5	9.9	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	10.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$22 Sneakers for R$5	200.1	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$2 Sneakers for R$5	9.12	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$29 Sneakers for R$5	5	3	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	5.0	4	123 Fake St	Sneaker Store Emporium
João Silva	R$10 off R$20 of food	10.0	2	987 Fake St	Bob's Pizza
Amy Pond	R$30 of awesome for R$10	10.0	5	456 Unreal Rd	Tom's Awesome Shop
Marty McFly	R$20 Sneakers for R$5	5.5	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$24 Sneakers for R$5	5.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$26 Sneakers for R$5	9.9	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	10.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$22 Sneakers for R$5	200.1	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$2 Sneakers for R$5	9.12	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$29 Sneakers for R$5	5	3	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	5.0	4	123 Fake St	Sneaker Store Emporium
João Silva	R$10 off R$20 of food	10.0	2	987 Fake St	Bob's Pizza
Amy Pond	R$30 of awesome for R$10	10.0	5	456 Unreal Rd	Tom's Awesome Shop
Marty McFly	R$20 Sneakers for R$5	5.5	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$24 Sneakers for R$5	5.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$26 Sneakers for R$5	9.9	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	10.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$22 Sneakers for R$5	200.1	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$2 Sneakers for R$5	9.12	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$29 Sneakers for R$5	5	3	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	5.0	4	123 Fake St	Sneaker Store Emporium
João Silva	R$10 off R$20 of food	10.0	2	987 Fake St	Bob's Pizza
Amy Pond	R$30 of awesome for R$10	10.0	5	456 Unreal Rd	Tom's Awesome Shop
Marty McFly	R$20 Sneakers for R$5	5.5	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$24 Sneakers for R$5	5.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$26 Sneakers for R$5	9.9	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	10.1	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$22 Sneakers for R$5	200.1	1	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$2 Sneakers for R$5	9.12	4	123 Fake St	Sneaker Store Emporium
Marty McFly	R$29 Sneakers for R$5	5	3	123 Fake St	Sneaker Store Emporium
Snake Plissken	R$21 Sneakers for R$5	5.0	4	123 Fake St	Sneaker Store Emporium
